claim_id,location,claim_type,value_paper,needs_block,claim,notes
results_col_ref_3,"Results, pp. 4-5",structural,3,FALSE,Cross-reference to Table 4 column 3,"A pointer to a float, not a quantity"
results_col_ref_4,"Results, pp. 4-5",structural,4,FALSE,Cross-reference to Table 4 column 4,"A pointer to a float, not a quantity"
results_zip_all,"Results, pp. 4-5",pipeline,210,TRUE,ZIP codes included in the ZIP-level analysis,
t4_m1_any_est,"Table 4, p. 5",pipeline,0.0021,TRUE,Table 4 cell m1_any_est,
t4_m2_any_est,"Table 4, p. 5",pipeline,-0.0004,TRUE,Table 4 cell m2_any_est,
t4_m1_any_se,"Table 4, p. 5",pipeline,0.0225,TRUE,Table 4 cell m1_any_se,
t4_m2_any_se,"Table 4, p. 5",pipeline,0.0085,TRUE,Table 4 cell m2_any_se,
t4_m3_tv1_est,"Table 4, p. 5",pipeline,-0.0205,TRUE,Table 4 cell m3_tv1_est,
t4_m4_tv1_est,"Table 4, p. 5",pipeline,-0.0016,TRUE,Table 4 cell m4_tv1_est,
t4_m3_tv1_se,"Table 4, p. 5",pipeline,0.0250,TRUE,Table 4 cell m3_tv1_se,
t4_m4_tv1_se,"Table 4, p. 5",pipeline,0.0109,TRUE,Table 4 cell m4_tv1_se,
t4_m3_tv2_est,"Table 4, p. 5",pipeline,0.0255,TRUE,Table 4 cell m3_tv2_est,
t4_m4_tv2_est,"Table 4, p. 5",pipeline,0.0007,TRUE,Table 4 cell m4_tv2_est,
t4_m3_tv2_se,"Table 4, p. 5",pipeline,0.0291,TRUE,Table 4 cell m3_tv2_se,
t4_m4_tv2_se,"Table 4, p. 5",pipeline,0.0096,TRUE,Table 4 cell m4_tv2_se,
t4_m2_x2016_est,"Table 4, p. 5",pipeline,0.8482,TRUE,Table 4 cell m2_x2016_est,
t4_m4_x2016_est,"Table 4, p. 5",pipeline,0.8483,TRUE,Table 4 cell m4_x2016_est,
t4_m2_x2016_se,"Table 4, p. 5",pipeline,0.0613,TRUE,Table 4 cell m2_x2016_se,
t4_m4_x2016_se,"Table 4, p. 5",pipeline,0.0616,TRUE,Table 4 cell m4_x2016_se,
t4_m2_m2016_est,"Table 4, p. 5",pipeline,84.3343,TRUE,Table 4 cell m2_m2016_est,
t4_m4_m2016_est,"Table 4, p. 5",pipeline,84.3359,TRUE,Table 4 cell m4_m2016_est,
t4_m2_m2016_se,"Table 4, p. 5",pipeline,6.0944,TRUE,Table 4 cell m2_m2016_se,
t4_m4_m2016_se,"Table 4, p. 5",pipeline,6.1268,TRUE,Table 4 cell m4_m2016_se,
t4_m2_x2014_est,"Table 4, p. 5",pipeline,0.1489,TRUE,Table 4 cell m2_x2014_est,
t4_m4_x2014_est,"Table 4, p. 5",pipeline,0.1484,TRUE,Table 4 cell m4_x2014_est,
t4_m2_x2014_se,"Table 4, p. 5",pipeline,0.0511,TRUE,Table 4 cell m2_x2014_se,
t4_m4_x2014_se,"Table 4, p. 5",pipeline,0.0521,TRUE,Table 4 cell m4_x2014_se,
t4_m2_m2014_est,"Table 4, p. 5",pipeline,14.8150,TRUE,Table 4 cell m2_m2014_est,
t4_m4_m2014_est,"Table 4, p. 5",pipeline,14.7661,TRUE,Table 4 cell m4_m2014_est,
t4_m2_m2014_se,"Table 4, p. 5",pipeline,5.0869,TRUE,Table 4 cell m2_m2014_se,
t4_m4_m2014_se,"Table 4, p. 5",pipeline,5.1776,TRUE,Table 4 cell m4_m2014_se,
t4_m2_x2012_est,"Table 4, p. 5",pipeline,0.0531,TRUE,Table 4 cell m2_x2012_est,
t4_m4_x2012_est,"Table 4, p. 5",pipeline,0.0525,TRUE,Table 4 cell m4_x2012_est,
t4_m2_x2012_se,"Table 4, p. 5",pipeline,0.0307,TRUE,Table 4 cell m2_x2012_se,
t4_m4_x2012_se,"Table 4, p. 5",pipeline,0.0315,TRUE,Table 4 cell m4_x2012_se,
t4_m2_m2012_est,"Table 4, p. 5",pipeline,5.3026,TRUE,Table 4 cell m2_m2012_est,
t4_m4_m2012_est,"Table 4, p. 5",pipeline,5.2424,TRUE,Table 4 cell m4_m2012_est,
t4_m2_m2012_se,"Table 4, p. 5",pipeline,3.0541,TRUE,Table 4 cell m2_m2012_se,
t4_m4_m2012_se,"Table 4, p. 5",pipeline,3.1297,TRUE,Table 4 cell m4_m2012_se,
t4_m1_int_est,"Table 4, p. 5",pipeline,0.4937,TRUE,Table 4 cell m1_int_est,
t4_m1_int_se,"Table 4, p. 5",pipeline,0.0157,TRUE,Table 4 cell m1_int_se,
t4_m2_int_est,"Table 4, p. 5",pipeline,0.0135,TRUE,Table 4 cell m2_int_est,
t4_m2_int_se,"Table 4, p. 5",pipeline,0.0122,TRUE,Table 4 cell m2_int_se,
t4_m3_int_est,"Table 4, p. 5",pipeline,0.4937,TRUE,Table 4 cell m3_int_est,
t4_m3_int_se,"Table 4, p. 5",pipeline,0.0157,TRUE,Table 4 cell m3_int_se,
t4_m4_int_est,"Table 4, p. 5",pipeline,0.0140,TRUE,Table 4 cell m4_int_est,
t4_m4_int_se,"Table 4, p. 5",pipeline,0.0128,TRUE,Table 4 cell m4_int_se,
t4_m1_r2,"Table 4, p. 5",pipeline,0.0000,TRUE,Table 4 cell m1_r2,
t4_m2_r2,"Table 4, p. 5",pipeline,0.8356,TRUE,Table 4 cell m2_r2,
t4_m3_r2,"Table 4, p. 5",pipeline,0.0100,TRUE,Table 4 cell m3_r2,
t4_m4_r2,"Table 4, p. 5",pipeline,0.8357,TRUE,Table 4 cell m4_r2,
t4_m1_nobs,"Table 4, p. 5",pipeline,853,TRUE,Table 4 cell m1_nobs,
t4_m2_nobs,"Table 4, p. 5",pipeline,853,TRUE,Table 4 cell m2_nobs,
t4_m3_nobs,"Table 4, p. 5",pipeline,853,TRUE,Table 4 cell m3_nobs,
t4_m4_nobs,"Table 4, p. 5",pipeline,853,TRUE,Table 4 cell m4_nobs,
t4_m1_nclust,"Table 4, p. 5",pipeline,154,TRUE,Table 4 cell m1_nclust,
t4_m2_nclust,"Table 4, p. 5",pipeline,154,TRUE,Table 4 cell m2_nclust,
t4_m3_nclust,"Table 4, p. 5",pipeline,154,TRUE,Table 4 cell m3_nclust,
t4_m4_nclust,"Table 4, p. 5",pipeline,154,TRUE,Table 4 cell m4_nclust,
f1_prior_mu,"Figure 1, p. 5",definitional,0.000,TRUE,Prior mean,
f1_prior_sd,"Figure 1, p. 5",definitional,0.050,TRUE,Prior standard deviation,
f1_bg_est,"Figure 1, p. 5",transcribed,0.016,FALSE,Broockman and Green (2014) estimate on the panel face,"An input to the Bayesian updating, typed from the cited study"
f1_bg_se,"Figure 1, p. 5",transcribed,0.014,FALSE,Broockman and Green (2014) standard error on the panel face,"An input to the Bayesian updating, typed from the cited study"
f1_bg_post_mu,"Figure 1, p. 5",pipeline,0.015,TRUE,Posterior mean after Broockman and Green (2014),
f1_bg_post_sd,"Figure 1, p. 5",pipeline,0.013,TRUE,Posterior standard deviation after Broockman and Green (2014),
f1_tur_est,"Figure 1, p. 5",transcribed,0.011,FALSE,Turitto et al. (2014) estimate on the panel face,"An input to the Bayesian updating, typed from the cited study"
f1_tur_se,"Figure 1, p. 5",transcribed,0.021,FALSE,Turitto et al. (2014) standard error on the panel face,"An input to the Bayesian updating, typed from the cited study"
f1_tur_post_mu,"Figure 1, p. 5",pipeline,0.014,TRUE,Posterior mean after Turitto et al. (2014),
f1_tur_post_sd,"Figure 1, p. 5",pipeline,0.011,TRUE,Posterior standard deviation after Turitto et al. (2014),
f1_hag_est,"Figure 1, p. 5",transcribed,0.009,FALSE,Hager (2019) estimate on the panel face,"An input to the Bayesian updating, typed from the cited study"
f1_hag_se,"Figure 1, p. 5",transcribed,0.006,FALSE,Hager (2019) standard error on the panel face,"An input to the Bayesian updating, typed from the cited study"
f1_hag_post_mu,"Figure 1, p. 5",pipeline,0.010,TRUE,Posterior mean after Hager (2019),
f1_hag_post_sd,"Figure 1, p. 5",pipeline,0.005,TRUE,Posterior standard deviation after Hager (2019),
f1_pres_est,"Figure 1, p. 5",pipeline,-0.000,TRUE,The present study's estimate on the panel face,
f1_pres_se,"Figure 1, p. 5",pipeline,0.009,TRUE,The present study's standard error on the panel face,
f1_pres_post_mu,"Figure 1, p. 5",pipeline,0.007,TRUE,Posterior mean after the present study,
f1_pres_post_sd,"Figure 1, p. 5",pipeline,0.004,TRUE,Posterior standard deviation after the present study,
f1_axis_neg0p03,"Figure 1, p. 5",structural,-0.03,FALSE,"x-axis break at -0.03, repeated in all five panels","A plotting default, not an estimate"
f1_axis_0p00,"Figure 1, p. 5",structural,0.00,FALSE,"x-axis break at 0.00, repeated in all five panels","A plotting default, not an estimate"
f1_axis_0p03,"Figure 1, p. 5",structural,0.03,FALSE,"x-axis break at 0.03, repeated in all five panels","A plotting default, not an estimate"
bayes_prior_sd_pp,"Bayesian integration, pp. 5-6",definitional,5,TRUE,"Prior standard deviation stated in the text, percentage points",
bayes_studies_to_date,"Bayesian integration, pp. 5-6",structural,3,FALSE,Field experiments on the topic to date (spelled out as 'The three field experiments'),Spelled-out number
bayes_panel4_mean,"Bayesian integration, pp. 5-6",pipeline,1.0,TRUE,"Posterior mean after the first three studies, percentage points",
bayes_panel4_sd,"Bayesian integration, pp. 5-6",pipeline,0.5,TRUE,"Posterior standard deviation after the first three studies, percentage points",
bayes_panel_ref_4a,"Bayesian integration, pp. 5-6",structural,4,FALSE,Cross-reference to Figure 1 panel 4,A pointer to a float
bayes_panel_ref_4b,"Bayesian integration, pp. 5-6",structural,4,FALSE,Second cross-reference to Figure 1 panel 4,A pointer to a float
bayes_panel_ref_5,"Bayesian integration, pp. 5-6",structural,5,FALSE,Cross-reference to Figure 1 panel 5,A pointer to a float
bayes_final_mean,"Bayesian integration, pp. 5-6",pipeline,0.7,TRUE,"Posterior mean after all four studies, percentage points",
bayes_final_sd,"Bayesian integration, pp. 5-6",pipeline,0.4,TRUE,"Posterior standard deviation after all four studies, percentage points",
bayes_four_studies,"Bayesian integration, pp. 5-6",structural,4,FALSE,Studies in the accumulation (spelled out as 'each of the four studies'),Spelled-out number
bayes_all_insignificant,"Bayesian integration, pp. 5-6",descriptive,,TRUE,Each of the four studies returned a statistically insignificant result,
power_pate_pp,"Bayesian integration, pp. 5-6",pipeline,1.0,TRUE,"Average effect implied by the previous literature, percentage points",
power_own_pct,"Bayesian integration, pp. 5-6",pipeline,21,TRUE,"Power of the experiment on its own, per cent, as stated in the main text",
power_combined_pct,"Bayesian integration, pp. 5-6",pipeline,89,TRUE,"Power of the Bayesian posterior estimator, per cent, as stated in the main text",
disc_explanations,"Discussion, pp. 6-7",structural,4,FALSE,Possible explanations offered (spelled out as 'four possible explanations'),Spelled-out number
disc_posterior_mean,"Discussion, pp. 6-7",pipeline,0.7,TRUE,"Mean of the final Bayesian posterior restated in the discussion, percentage points",
disc_cost_per_vote,"Discussion, pp. 6-7",pipeline,8.68,TRUE,"Implied cost per vote, dollars",
disc_skip_ratio,"Discussion, pp. 6-7",descriptive,10,TRUE,Viewers who skipped after three seconds for every viewer who watched an ad through,
disc_skip_seconds,"Discussion, pp. 6-7",definitional,3,FALSE,Seconds after which viewers skipped,A platform setting carried by no deposited file
fn_voters,"Note 1, p. 7",pipeline,822783,TRUE,Voters in targeted ZIP codes used in the cost-per-vote calculation,
fn_total_cost,"Note 1, p. 7",definitional,100000,FALSE,"Total cost in dollars, inclusive of production and distribution",A spending fact carried by no deposited file
fn_calc_cost,"Note 1, p. 7",definitional,100000,FALSE,Numerator of the printed cost-per-vote expression,"The same spending fact, restated inside the expression"
fn_calc_voters,"Note 1, p. 7",pipeline,822783,TRUE,Voter total inside the printed cost-per-vote expression,
fn_calc_posterior,"Note 1, p. 7",pipeline,0.007,TRUE,Posterior mean inside the printed cost-per-vote expression,
fn_calc_two,"Note 1, p. 7",definitional,2,FALSE,"Factor of two in the cost-per-vote expression, converting a vote share shift into net votes",A modelling convention stated in the expression
fn_calc_result,"Note 1, p. 7",pipeline,8.68,TRUE,"Result of the printed cost-per-vote expression, dollars",
app_a_small_insignificant,"Appendix A, p. 2",descriptive,,TRUE,Effects on vote margin and turnout are small and statistically insignificant,
app_c_tol_02,"Appendix C, p. 7",definitional,0.2,FALSE,Equivalence tolerance in standard units,A stated tolerance; visible in the p_eq_0.2 column of the equivalence script
app_c_tol_01,"Appendix C, p. 7",definitional,0.1,FALSE,Second equivalence tolerance in standard units,A stated tolerance; visible in the p_eq_0.1 column of the equivalence script
app_c_dim_none_below,"Appendix C, p. 7",descriptive,0.05,TRUE,No difference-in-means equivalence p-value is smaller than 0.05,
app_c_ols_02_all,"Appendix C, p. 7",descriptive,0.05,TRUE,All three outcomes can be affirmed equivalent at p < 0.05 under the 0.2 SD tolerance using the covariate-adjusted models,
app_c_ols_01_total_only,"Appendix C, p. 7",descriptive,,TRUE,Under the 0.1 SD tolerance only the OLS estimate on vote total can be affirmed equivalent,
app_d_mapped_zips,"Appendix D, p. 8",structural,148,FALSE,ZIP codes with geographic boundaries shown on the map,"The deposit ships no shapefiles, so the map and its count are not recoverable"
app_d_all_zips,"Appendix D, p. 8",pipeline,210,TRUE,"ZIP codes in the experiment, restated in the map section",
app_d_lat_25,"Figure D.1, p. 9",structural,25,FALSE,Latitude graticule label 25 degrees north,A map axis label
app_d_lat_26,"Figure D.1, p. 9",structural,26,FALSE,Latitude graticule label 26 degrees north,A map axis label
app_d_lat_27,"Figure D.1, p. 9",structural,27,FALSE,Latitude graticule label 27 degrees north,A map axis label
app_d_lat_28,"Figure D.1, p. 9",structural,28,FALSE,Latitude graticule label 28 degrees north,A map axis label
app_d_lat_29,"Figure D.1, p. 9",structural,29,FALSE,Latitude graticule label 29 degrees north,A map axis label
app_d_lat_30,"Figure D.1, p. 9",structural,30,FALSE,Latitude graticule label 30 degrees north,A map axis label
app_d_lat_31,"Figure D.1, p. 9",structural,31,FALSE,Latitude graticule label 31 degrees north,A map axis label
app_d_lon_80,"Figure D.1, p. 9",structural,80,FALSE,Longitude graticule label 80 degrees west,A map axis label
app_d_lon_82,"Figure D.1, p. 9",structural,82,FALSE,Longitude graticule label 82 degrees west,A map axis label
app_d_lon_84,"Figure D.1, p. 9",structural,84,FALSE,Longitude graticule label 84 degrees west,A map axis label
app_d_lon_86,"Figure D.1, p. 9",structural,86,FALSE,Longitude graticule label 86 degrees west,A map axis label
app_d_lon_88,"Figure D.1, p. 9",structural,88,FALSE,Longitude graticule label 88 degrees west,A map axis label
app_e_coefs_nonsig,"Appendix E, p. 10",descriptive,,TRUE,Each individual balance coefficient is nonsignificant,
app_e_joint_p,"Appendix E, p. 10",pipeline,0.33,TRUE,"Joint significance test p-value, precinct-level balance",
app_f_zips,"Appendix F, p. 10",pipeline,210,TRUE,"ZIP codes block-randomized, restated in the aggregation section",
app_f_example_pct,"Appendix F, p. 10",definitional,30,FALSE,Illustrative percentage of a precinct lying within a ZIP code,"A worked illustration, not an estimate"
app_f_example_frac,"Appendix F, p. 10",definitional,0.3,FALSE,The same illustrative fraction written as a decimal,"A worked illustration, not an estimate"
app_f8_joint_p,"Appendix F.1, p. 11",pipeline,0.328,TRUE,"Joint significance test p-value, ZIP-level balance",
app_f_small_effects,"Appendix F.1, p. 11",descriptive,,TRUE,ZIP-level analysis returns very small effects that cannot be distinguished from zero,
app_g_pate_center,"Appendix G, p. 15",definitional,0.01,TRUE,Centre of the distribution simulated treatment effects are drawn from,
app_g_pate_sd,"Appendix G, p. 15",definitional,0.005,TRUE,Standard deviation of the distribution simulated treatment effects are drawn from,
app_g_power_own,"Appendix G, p. 15",pipeline,21.0,TRUE,"Power of the study on its own, per cent, as stated in the appendix",
app_g_power_combined,"Appendix G, p. 15",pipeline,89.3,TRUE,"Power of the Bayesian posterior estimator, per cent, as stated in the appendix",
fg2_ols_pate_label,"Figure G.2, p. 15",pipeline,0.1,TRUE,PATE named in the left panel annotation,
fg2_post_pate_label,"Figure G.2, p. 15",pipeline,0.1,TRUE,PATE named in the right panel annotation,
fg2_ols_power,"Figure G.2, p. 15",pipeline,0.210,TRUE,Power printed in the left panel,
fg2_post_power,"Figure G.2, p. 15",pipeline,0.893,TRUE,Power printed in the right panel,
fg2_axis_neg0p05,"Figure G.2, p. 15",structural,-0.05,FALSE,"x-axis break at -0.05, in both panels","A plotting default, not an estimate"
